nama_kecamatan,jumlah_kepadatan_(jiwa_per_km2),nama_kabupaten
CAKUNG,9407.75,JAKARTA TIMUR
CEMPAKA PUTIH,19367.933333333334,JAKARTA PUSAT
CENGKARENG,18873.27,JAKARTA BARAT
CILANDAK,12145.774,JAKARTA SELATAN
CILINCING,18132.46857142857,JAKARTA UTARA
CIPAYUNG,9565.86125,JAKARTA TIMUR
CIRACAS,14304.254,JAKARTA TIMUR
DUREN SAWIT,21329.60142857143,JAKARTA TIMUR
GAMBIR,15229.106666666665,JAKARTA PUSAT
GROGOL PETAMBURAN,56669.340000000004,JAKARTA BARAT
JAGAKARSA,14174.241666666667,JAKARTA SELATAN
JATINEGARA,33801.89875,JAKARTA TIMUR
JOHAR BARU,73134.6625,JAKARTA PUSAT
KALI DERES,11814.155999999999,JAKARTA BARAT
KEBAYORAN BARU,8474.976,JAKARTA SELATAN
KEBAYORAN LAMA,43874.494999999995,JAKARTA SELATAN
KEBON JERUK,19741.604285714286,JAKARTA BARAT
KELAPA GADING,8457.543333333333,JAKARTA UTARA
KEMAYORAN,41205.7775,JAKARTA PUSAT
KEMBANGAN,11376.128333333334,JAKARTA BARAT
KEP. SERIBU SLT,2639.8366666666666,KAB.ADM.KEP.SERIBU
KEP. SERIBU UTR,4863.433333333333,KAB.ADM.KEP.SERIBU
KOJA,29395.546666666665,JAKARTA UTARA
KRAMAT JATI,21961.264285714286,JAKARTA TIMUR
MAKASAR,16627.082000000002,JAKARTA TIMUR
MAMPANG PRAPATAN,21023.194,JAKARTA SELATAN
MATRAMAN,30658.498333333333,JAKARTA TIMUR
MENTENG,10230.294,JAKARTA PUSAT
PADEMANGAN,16463.296666666665,JAKARTA UTARA
PALMERAH,27038.48833333334,JAKARTA BARAT
PANCORAN,16600.32,JAKARTA SELATAN
PASAR MINGGU,15234.121428571429,JAKARTA SELATAN
PASAR REBO,13481.714000000002,JAKARTA TIMUR
PENJARINGAN,12916.532000000001,JAKARTA UTARA
PESANGGRAHAN,16387.22,JAKARTA SELATAN
PULO GADUNG,20830.868571428575,JAKARTA TIMUR
SAWAH BESAR,32854.020000000004,JAKARTA PUSAT
SENEN,24920.16833333333,JAKARTA PUSAT
SETIA BUDI,14369.69125,JAKARTA SELATAN
TAMAN SARI,23954.092500000002,JAKARTA BARAT
TAMBORA,44858.34454545455,JAKARTA BARAT
TANAH ABANG,22612.437142857143,JAKARTA PUSAT
TANJUNG PRIOK,20103.532857142858,JAKARTA UTARA
TEBET,29982.10714285714,JAKARTA SELATAN
